geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
A1BG	309.8	261.5	421.9	421.9	272.5	362.6	832.4	207.3	584.8	350.6
A1BG-AS1	234.3	58.7	30.9	155.5	28	220.3	74.2	26.4	42.7	37.7
A1CF	46.5	194.8	105.95	68.2	122.1	116.35	524.35	83.45	145.5	127.65
A2M	471.5	328.7	279.5	233.5	266.5	1066.25	216.65	382.65	216.5	448.5
A2M-AS1	250.8	161.6	156.1	113.2	136.7	213.4	56.8	131.4	323.5	144.4
A2ML1	48.6	81.8	70.15	96.2	70.45	66.45	136.5	100.95	24.3	81.95
A2MP1	8.3	162.3	29.9	118.4	25.6	8.6	102.4	54.1	130.5	94.5
A4GALT	307.8	130.1	584.2	516.2	295.7	597.7	555.4	493.3	360.1	343.5
A4GNT	54.6	151	101	135.1	146.5	271.9	285.7	175.1	83	241.6
AA06	222.8	213.1	214.5	220.6	236.3	159.1	220.1	210	288	171.7
AAAS	884.5	902.7	314.4	619.7	760.4	1225	935	1110.2	941.5	1207.6
AACS	1492.9	1853	1780.8	1771.8	2097.9	1949.7	1544	1343.8	1303.7	1570.5
AACSP1	3.1	13.5	5.6	14.3	17.1	21	57.5	127	169.4	24.7
AADAC	37.9	9.4	9.3	14.3	10	4.2	109.5	8.5	20.5	8.1
AADACL2	4.2	24.3	6.9	31.1	67	10.3	44.3	39.7	12.6	3.2
AADACP1	46	9.1	2.7	23.8	3.4	3.4	288.3	3.2	154.9	6.3
AADAT	434.5	524	179.6	372.4	562.2	231.5	375.3	384.6	269.4	287.7
AAED1	1158.1	2106.3	1345.3	1503.8	1140.4	1496.2	952.1	1507	1185.4	1008.8
AAGAB	714.6	643.233333333333	820.133333333333	720.266666666667	868.6	789.4	922.633333333333	787.6	797.733333333333	838.4
AAK1	1089.31428571429	1176.52857142857	936.257142857143	1025.68571428571	828.428571428571	1374.82857142857	1412.55714285714	996.142857142857	993.342857142857	984.371428571429
AAMDC	994.066666666667	925.833333333333	2169.03333333333	1999.26666666667	1672.4	961.766666666667	1155.06666666667	888.866666666667	808.166666666667	969.833333333333
AAMP	1934	3001.1	2271.9	2039	2303.2	2812.2	1337.1	2872.4	2659.8	1852.9
AANAT	5.2	25.5	18.8	5.9	9.2	178.6	55.4	16.7	36.9	5.9
AAR2	2190.3	1993.7	1728.5	1872.6	2327.4	1925.2	2143.1	1628.1	1753.5	2032.7
AARS	8623.4	11556.5	7342.1	7356.6	6118.6	13509.9	13349.2	6725.4	14117.6	10484.7
AARS2	578.9	358.9	462.85	426.3	471.1	646.7	643.05	412.4	484.5	307.5
AASDH	938.55	749.05	900	1158.85	638.65	816.85	751.1	803.1	1118.75	954.45
AASDHPPT	2957.9	2895.66666666667	2717.7	3272.33333333333	3306.6	2763.26666666667	1284.83333333333	2339.6	2309.56666666667	2156.33333333333
