ID_REF	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
1007_s_at	2375.8	2001.7	1780.7	2230.3	2439.9	2765.5	2523.1	1754.5	2096.9
1053_at	596.7	1207.7	883.5	761	843.1	970.3	893.4	784.4	898.1
117_at	113.1	128.7	214.9	169.9	160.2	738.5	108.2	115.3	49
121_at	595.7	834.2	858.5	1073.8	1162.1	1233.8	1278.7	1800.7	1152.5
1255_g_at	99.5	44	53.2	108.5	106.4	280.3	155.5	142.9	31.4
1294_at	1092.8	860	752.2	728.5	1712.1	1611.1	1455.1	1414.8	1314.9
1316_at	467.9	465.6	373.4	359.3	310.9	457.1	195.4	418.3	29
1320_at	196.5	156.8	165.7	281.5	388.7	493.4	875	523.4	560.4
1405_i_at	3275.8	803.1	13.2	85.1	643.8	2373.8	1080.8	101.7	280.5
1431_at	199	151.2	119.1	64.8	213	130.9	136.9	254.9	154.6
1438_at	58.5	158.9	37.2	34.2	465.3	462.4	196	447	379.3
1487_at	771.7	928.5	981.4	1155.3	1750.3	1816	1321.6	1938.5	1627
1494_f_at	245.1	204.3	173.7	295	384	642.7	164.6	308.9	411
1552256_a_at	618	448.5	272.7	402	1624.6	1982.7	1052.7	1309.2	1027.8
1552257_a_at	1276.3	1383.4	1716.3	1300.5	2524.9	2104	1315.6	1094.2	1947.2
1552258_at	229.2	137.7	75.3	79.3	326.3	606	27.2	229.2	200.1
1552261_at	28.6	40.7	86.6	100.3	77.6	272.3	110.1	29.6	160.2
1552263_at	617.9	684.1	634	713.2	567.4	616.5	382.2	570	308.7
1552264_a_at	764.5	838.1	667.2	953.9	1159.7	1378.8	2438.1	2054.7	2228.5
1552266_at	134.7	72.3	157.5	87.9	177.6	247.2	227.5	129.9	104.4
1552269_at	78.2	9.5	13.7	76.6	12	405.4	29.6	160.1	37.3
1552271_at	25.8	27.3	9.7	13.7	115.3	201	72.8	66.7	66.9
1552272_a_at	64	131	96.8	202.1	189.7	167	201.4	166.8	110.3
1552274_at	2322.9	2303.6	3180.2	2040.5	1996.7	1702.7	1960.7	1964.2	2157.5
1552275_s_at	1336.9	1204.7	1527.7	1061.9	1202.1	1167.1	1601.5	1637.8	1950.6
1552276_a_at	29.8	112.4	33.9	132.1	359	206	368.1	349.8	424.4
1552277_a_at	4517.8	3534.3	3626.6	3303.6	5268.5	6668.8	5381	4275	3767.9
1552278_a_at	160.7	151.4	57.7	108	83.1	214.3	236.3	137.1	232.7
1552279_a_at	407.6	222.2	396.2	458.5	518.7	839.4	736	746.2	503.2
1552280_at	21.5	20.4	17	18.4	8.2	42	73.7	76.4	22.4
1552281_at	83.8	90.5	190.2	270.6	448.3	360.8	172	1066.2	87.7
1552283_s_at	18.1	141.6	137.5	91	88.7	284.1	84.8	89.9	104.3
1552286_at	575.7	368.9	594.5	592.5	375.4	127.8	285.5	340.7	351.9
1552287_s_at	605	520.4	394.3	493.4	372.1	549.3	337.2	320.4	421.4
1552288_at	296.3	242.6	188.1	87.8	924.3	807.7	237.2	27.8	779.8
1552289_a_at	537.7	569.4	344.6	199.5	1743.6	1283	368.3	495.5	1302.9
1552291_at	1404.7	1714.7	1387.1	1908.5	1406.4	879.5	955.3	771	851.6
1552293_at	88.2	10.8	14.5	12.5	24	108.9	19.2	26.9	41.5
1552295_a_at	1132.9	1078.5	1208.5	1615.4	2826.3	3752.8	3931	2698.8	3358.8
1552296_at	88.5	13.7	42.3	10.7	126.2	97.7	70.1	32.1	26.2
1552299_at	190.5	11.5	161.1	132.1	18.7	324.9	142.8	235.4	79.3
1552301_a_at	501.3	441.4	370.5	330	691.5	1077.8	537.8	627.7	480.2
1552302_at	131	282.1	199	386.1	249.8	449.6	168.2	182.6	140.4
1552303_a_at	384	437.9	386	467.2	357.4	285.2	137.7	331.7	232.2
1552304_at	15	106.3	90.3	116.6	125.8	210.3	8.5	84.9	18.7
1552306_at	142	149.9	229.4	165.8	104.4	101.5	92.8	316.1	196.3
1552307_a_at	797.2	833.7	835.6	570	1017.3	1097.3	544.2	1287.3	928.5
1552309_a_at	7378.7	10115.9	8713.7	8652.4	3214.4	1527.9	6247.2	2037.5	4274.4
1552310_at	1559.6	2354.7	2096.6	2025.5	1105.5	676.3	1197.3	908.3	1171.1
1552311_a_at	390.2	323.4	317.2	237.2	482	212.8	506	711.7	603.4
1552312_a_at	433.2	361.1	458	620.1	510.9	762.4	1207.8	733.7	1220
1552314_a_at	269.2	139.5	156.8	108.1	243.4	210.5	140.5	234.7	216.1
1552315_at	65.5	108	22.5	112	38.3	328.8	100.1	114.3	146.9
1552316_a_at	7	73.6	65.8	5.8	196	26.7	12	32.1	80.4
1552318_at	13.4	12.9	6.3	24.9	24	111.1	80.1	127.1	66
1552319_a_at	17.6	120	14.3	88.4	276.1	672.2	176.6	100.3	210.3
1552320_a_at	46.7	44.1	70.2	3.2	10.7	374.1	104.3	94	29.5
1552321_a_at	77.3	24.4	92.5	11.4	13.5	161.4	5.1	7.5	6.3
1552322_at	36.1	63.4	54.2	3.3	15.3	110.1	48.8	3.5	55
1552323_s_at	203.1	238.2	137.5	167	219.2	148.6	114.2	254.8	135.9
1552325_at	41.7	30.3	3.2	31.6	84	85.4	77.4	42.2	7.7
1552326_a_at	72	87.2	122	45.2	179.1	162.3	35.2	63.7	154
1552327_at	188.2	156.1	108.7	110.7	266.5	254.3	121	210.1	148.2
1552329_at	745.6	456.8	558.6	486.1	304.8	444.8	400.8	439.9	453.6
1552330_at	692.5	656.6	837	779.7	977.2	615.3	654.7	966.1	571
1552332_at	117.2	126.4	157.2	100.2	270.2	236.8	172	110.7	219.6
1552334_at	606.6	353.1	547.6	630.4	551.1	687.6	466	821.4	496.1
1552335_at	314.4	265.3	310.2	322.2	365.1	409.6	369.4	169.1	28.6
1552337_s_at	72.8	7.4	91	122.2	71.1	439.3	69.3	110.7	91.7
1552338_at	10.8	22.9	10.2	30.3	29.9	97	12.3	13.5	10.6
1552340_at	13.2	23.8	12.4	11	38.8	142.3	39.5	28.4	31.5
1552343_s_at	181.2	88.6	145.3	73.1	142.3	492.6	121.9	234	173.4
1552344_s_at	768.9	751.8	1351	1098	483.3	888.5	937.2	725.6	716.2
1552347_at	1617.5	683.3	571.9	749.3	1577.5	2253.5	1372.8	1857.8	1158.6
1552348_at	132.3	190.5	31.5	80.9	49.3	238	168.6	77.2	45.9
1552349_a_at	125.8	96.9	35.8	92.1	169	531.1	103.4	156.8	133
1552354_at	15.4	15.5	18.1	14.1	35.9	222.3	54	53.4	65
1552355_s_at	103.2	13.3	115.6	19.8	7.9	97.8	28.4	21.1	16
1552359_at	85.4	101.3	20.9	2.7	11.3	55.9	73.5	21.5	12.5
1552360_a_at	337.5	485.4	360	403	317.4	313.6	290.6	348	427
1552362_a_at	286.7	129.4	142.5	152.8	201.9	723	155.6	192.2	50.5
1552364_s_at	175.4	144.5	182.7	138.1	222.6	612.3	279.4	92.3	11.5
1552365_at	129.3	527.2	65.8	50.1	1160.8	426.6	3667.7	159.7	293.4
1552367_a_at	12.7	152.5	7.2	8.1	534.6	166.2	1405.3	202.2	138.1
1552368_at	30.7	4.9	10.2	4.9	193.9	116	140.3	56.8	101.7
1552370_at	482.6	614.3	348.2	607.2	297.7	84.2	697.8	294	490.8
1552372_at	2	20.6	1.6	16.5	28.5	186.1	4.6	121.8	7.7
1552373_s_at	4.3	8.9	8.9	11.4	12	47.8	48.9	14.1	8.5
1552375_at	234.4	231.1	327.4	295.7	341.2	118.1	251.1	367.5	182.8
1552377_s_at	322	361.4	365.7	376.8	395.6	609.9	490	353.8	569.9
1552378_s_at	142.3	58.2	105.2	622.8	267.5	87.4	510.2	75.3	294.9
1552379_at	58.4	49.3	1.2	9.8	4	141.1	4.7	67.6	66.5
1552381_at	64	70.4	14.9	100.3	38.9	65.2	18.2	102.7	94.6
1552383_at	153.7	9.5	134.2	187.9	404	283.9	164.5	669.5	406.2
1552384_a_at	14.9	85.8	194.8	33.1	31.1	84.2	53.8	238.7	141.2
1552386_at	48.1	59.4	45.4	46.5	72.2	229.9	44.2	139.3	9.4
1552388_at	48.9	613.1	450.8	53.2	41.3	144.6	319.1	118.7	48.9
1552389_at	3.1	8.2	28.5	19.3	87.2	43.5	12.1	82.1	7.3
1552390_a_at	10.1	95.2	58.3	27	28.2	63.7	43.3	88.7	32.5
1552391_at	59.9	126.9	5.4	41.9	116.4	191.3	97.5	91.1	38.3
1552393_at	50.4	2.1	19.6	42.2	106	39.3	125.5	95.6	22.6
1552394_a_at	10.1	6.2	19	8.5	15.6	58	7.4	7.7	11.7
1552395_at	81.9	67.2	59.4	71.1	27.7	110.4	72.9	60.8	36.9
1552396_at	16.7	9.2	8.2	33.2	58.9	210.2	24.4	37.5	30.6
1552398_a_at	6	14.1	13	84.8	15.8	397.8	111.8	20.8	55.2
1552399_a_at	145.9	13.2	11.2	21.6	134.5	117	117.9	139.8	295.3
1552400_a_at	172.8	141.1	128.9	127.3	196.1	116.1	188.4	142.9	154.9
1552401_a_at	66.5	109.5	102.7	115.9	139.8	638.4	111.4	132.9	84
1552402_at	135.7	13.5	56.5	153.7	41	92	146.9	15.3	24.3
1552405_at	190.9	81.1	44.9	19.8	305.7	436.7	138.7	202.1	129.4
1552408_at	46.2	78.7	38.3	60	128.3	250.9	12.4	87.7	87.8
1552409_a_at	17.8	17.9	24.6	75.6	31	282.3	38.8	63.5	45.1
1552410_at	64.3	133.1	70.1	204.2	198.4	347	130.8	372	121.5
1552411_at	425.2	159.1	334.3	437.6	261.1	123.8	51.5	338.7	241.7
1552412_a_at	100.6	39	76.4	48.2	171.8	558.4	6.3	7.5	5.9
1552414_at	11.1	86.6	77.7	63.6	107.5	214.7	123.5	204.7	114.9
1552415_a_at	45.8	22.8	15.2	16.9	30.2	137	166.5	253.8	245.1
1552417_a_at	917.6	620.5	662.1	836.9	823.4	718.4	1406.2	1058.3	1141.6
1552418_at	16.8	11.4	12.2	21.1	15.6	98.4	18.8	46.9	10.1
1552419_s_at	210.7	196.3	201.3	197.6	612.9	799.4	322.5	494	413.8
1552421_a_at	13	13.9	10.6	7.4	136.4	58.9	15.7	17.7	13.8
1552422_at	168.7	136.2	6.6	125.3	76	190.6	168.3	213.7	32.5
1552423_at	264	246.2	242.2	182.3	310	542	133.1	154.4	162
1552424_at	3.1	15.7	4.3	46.9	50.3	93.8	7.6	5.6	5.3
1552425_a_at	136.3	193.7	114.5	75.1	133.5	221.3	61.9	201.8	175.3
1552426_a_at	7067.5	6538.4	6556	7904.2	5167.6	3575.7	4602.4	4569	4642.8
1552427_at	167	116.8	72.5	103.8	151.6	335.1	126.8	111.1	59.4
1552430_at	60.5	6	53.2	51.3	94.9	354.2	67.3	73.6	3.9
1552432_at	121.1	26.5	22.9	28.8	27.5	98.7	38.3	71.6	42.6
1552436_a_at	13.8	29.1	21.8	41.9	35.5	70.4	31.2	10.9	34.3
1552438_a_at	48.2	3.3	102.9	22.8	70.9	156.6	18.4	204.7	60.1
1552439_s_at	6.4	7.2	8.7	2.3	10.3	82.3	4.7	7.8	2.9
1552440_at	15.3	9.2	73.8	7.9	109.2	100.4	38.3	132.3	87.1
1552445_a_at	17.3	3.6	107.3	70.1	26.1	34.8	113.3	75.3	93.2
1552448_a_at	19.8	5.7	11.7	9.5	32.5	33	142.1	34.5	50.2
1552449_a_at	9.2	70.3	47.1	9	183.7	102.4	165.3	9.7	12.3
1552450_a_at	45.2	56.5	85.9	32.7	131.9	495.4	124.5	46.8	14.8
1552452_at	68.9	24.6	22.5	60.8	10.3	48.1	124.6	12.3	15.7
1552453_a_at	9.4	9.3	4.8	4.5	5.5	49.1	3.4	15.4	8.5
1552455_at	314.6	89.1	111.7	112.3	123.8	154	146.2	70.3	105.7
1552456_a_at	9.9	23.5	26.4	108.6	15	62.8	36	16.7	123.1
1552457_a_at	259.9	420.1	446.6	865.6	355.3	480.4	258.8	148	585.2
1552458_at	4	46.6	44.5	62.4	6.2	222.2	39.4	94.3	216.6
1552459_a_at	28.1	18.7	25.5	15.8	21	92	27.3	34.3	24.9
1552461_at	35.5	3.3	5.1	8.9	178.6	202.8	5.3	84.4	62.8
1552463_at	9	81.2	7.3	76.4	91.1	301.9	26.3	210.7	135.2
1552466_x_at	9.3	25.9	6.2	39.5	20.8	170.9	5.9	160	5.1
1552467_at	85.4	109.5	52.7	56.1	80.1	272.8	39.2	365	98.6
1552468_a_at	43.7	43	173.7	32.8	50.4	147.1	304.1	109.1	63.6
1552470_a_at	64.1	118	120.2	63	68.7	55.7	103.1	75.9	15.3
1552472_a_at	577.7	438.9	627	609.6	620.9	406.6	1039.1	937.4	815.9
1552473_at	343.7	816.4	475.2	115.6	565	1864.5	568.3	1108.7	684.2
1552474_a_at	785.8	850.8	727.3	641.2	1794.2	1297.6	2058.1	1998.9	1661.1
1552476_s_at	119.2	64.2	74.4	195.5	882.8	1491.5	963.8	946.1	869.8
1552477_a_at	11.6	50.2	12.1	55.7	47.2	178.3	25	60.6	56.4
1552478_a_at	10.8	30.8	75.6	84	25.9	97.2	45.4	9.9	129.7
1552480_s_at	29	1.7	18.2	4.2	3.6	18.1	78	8.7	19.1
1552481_s_at	193.7	422.7	166.3	195.4	136.6	43	140.8	173.5	208
1552482_at	786.3	176.7	197.1	194.5	604.5	204.1	363.5	403.2	509.5
1552484_at	403.4	58.4	33.9	33.4	71.9	307.2	246.1	85.4	122.5
1552485_at	1194.4	1435.5	1358.8	1695.3	879.5	816.5	2174.8	1123.2	1522
1552486_s_at	1405.8	2106.3	1384.6	1721.3	1859.4	1435.1	2503.6	1899.6	1845.8
1552487_a_at	111.3	372.8	318.8	233.1	351.1	22.5	124.7	150.3	89.6
1552489_s_at	91.3	107.4	209.8	132.1	126.4	387.8	164.3	132.9	142.9
1552490_at	157.5	124.7	174.8	112.8	198.5	62.9	171.3	5.8	152.6
1552491_at	17.3	21.2	26.4	146.2	25.9	353.8	16.5	45.7	28.5
1552493_s_at	10.1	32.8	36.8	39.5	15.4	136	28.8	37.4	137.6
1552494_at	133.6	7.1	38.4	37.2	11.5	210	24.9	18.2	31.5
1552496_a_at	10.8	4.4	74.1	8.4	5.6	100.7	8.9	8.5	10.9
1552497_a_at	179.3	186.5	144.3	157.1	241.9	529.5	205.8	305.4	139.1
1552498_at	222.4	63.8	107.2	103.1	225.8	171.1	230.1	314.8	231.3
1552499_a_at	102.2	116.2	8.9	69.7	111.6	54.6	55.6	205	167.4
1552501_a_at	18.5	26.3	16.2	24.2	132.8	164.7	134.7	86.5	49.5
1552502_s_at	280.4	359.4	270.8	204.9	355.9	104.8	217.4	393.8	320
1552503_at	23.9	23.6	18.2	7.3	17.2	345.8	89.7	187.7	171.5
1552504_a_at	156.6	63.5	82.2	24.2	958	640.1	390.1	773.5	542
1552506_at	117.9	18.8	13.7	33.6	16.3	150.6	28.3	62.3	17.8
1552507_at	779.1	396.2	270.2	271.7	1887.7	953.7	1063.5	1698.6	1609.5
1552508_at	2271.1	456.1	360.1	582.1	2378.2	1024.2	1126.5	1655.2	1815.9
1552509_a_at	67.2	43.9	102.7	15.9	46.5	337.3	91.8	77.9	67.8
1552510_at	1158.3	655.3	1150	538	600	1169.9	721.2	768.9	929.8
1552511_a_at	4.2	55	103.9	3.6	6.2	75.8	10.8	83.8	9.2
1552514_at	48.8	24.3	52	36.8	15.7	164.2	51.8	38	112.2
1552515_at	62	5.6	19.1	24.5	151.1	472.6	31.7	77.1	85.1
1552516_a_at	9.7	10.2	62.4	18.5	440.7	593	539.3	594.5	726.6
1552518_s_at	9.5	140.2	8.4	123.4	8	104.1	15	146.1	9.9
1552519_at	140.6	22.6	47.7	84.9	130.8	321.1	235.5	278.2	143.7
1552520_at	29.2	34.9	107.4	66.7	81.6	12.9	75.9	54.9	75.5
1552521_a_at	8.4	5.1	4.9	21.7	3.8	50.3	45.6	3.5	3.5
1552522_at	37.3	52.4	45.9	4	61.2	75.8	132	42.5	1.5
1552523_a_at	18.1	25.3	15.9	26.2	174.1	76.1	19.4	55.9	8.2
1552524_at	42.8	20.4	21.2	15	62.8	275.7	41.2	63.9	40.5
1552526_at	27.8	6	20.3	31.4	22.3	79	21.4	50.5	35.4
1552528_at	299.6	39.9	29.9	138.5	51.8	416.1	235	38	34
