geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
A1BG	309.8	261.5	421.9	421.9	272.5	600.9	263.7	315.1	319	362.6	832.4	207.3	584.8	350.6
A1BG-AS1	234.3	58.7	30.9	155.5	28	131.1	104.6	29.1	59	220.3	74.2	26.4	42.7	37.7
A1CF	46.5	194.8	105.95	68.2	122.1	171.95	59.55	119.9	81.7	116.35	524.35	83.45	145.5	127.65
A2M	471.5	328.7	279.5	233.5	266.5	151.1	260.65	398.55	984.45	1066.25	216.65	382.65	216.5	448.5
A2M-AS1	250.8	161.6	156.1	113.2	136.7	190.9	265.3	166.8	158.1	213.4	56.8	131.4	323.5	144.4
A2ML1	48.6	81.8	70.15	96.2	70.45	39.95	108.45	43.25	28.2	66.45	136.5	100.95	24.3	81.95
A2MP1	8.3	162.3	29.9	118.4	25.6	66.3	95.2	23.8	134.8	8.6	102.4	54.1	130.5	94.5
A4GALT	307.8	130.1	584.2	516.2	295.7	56.9	268.1	118.1	163.8	597.7	555.4	493.3	360.1	343.5
A4GNT	54.6	151	101	135.1	146.5	205.5	114.5	117	153	271.9	285.7	175.1	83	241.6
AA06	222.8	213.1	214.5	220.6	236.3	204	150.9	114.7	57.8	159.1	220.1	210	288	171.7
AAAS	884.5	902.7	314.4	619.7	760.4	174.8	413.4	423.3	203.6	1225	935	1110.2	941.5	1207.6
AACS	1492.9	1853	1780.8	1771.8	2097.9	2166.4	1480.1	2496.3	1847.6	1949.7	1544	1343.8	1303.7	1570.5
AACSP1	3.1	13.5	5.6	14.3	17.1	72.6	76.1	40.5	11.7	21	57.5	127	169.4	24.7
AADAC	37.9	9.4	9.3	14.3	10	5.7	9.4	10.3	12.7	4.2	109.5	8.5	20.5	8.1
AADACL2	4.2	24.3	6.9	31.1	67	4.5	29.1	49.9	1.8	10.3	44.3	39.7	12.6	3.2
AADACP1	46	9.1	2.7	23.8	3.4	2.1	6.6	14	7.4	3.4	288.3	3.2	154.9	6.3
AADAT	434.5	524	179.6	372.4	562.2	363.8	448	452.8	340.9	231.5	375.3	384.6	269.4	287.7
AAED1	1158.1	2106.3	1345.3	1503.8	1140.4	1797	2156	2315.2	2499.1	1496.2	952.1	1507	1185.4	1008.8
AAGAB	714.6	643.233333333333	820.133333333333	720.266666666667	868.6	627.733333333333	1067.8	1148.36666666667	1011.63333333333	789.4	922.633333333333	787.6	797.733333333333	838.4
AAK1	1089.31428571429	1176.52857142857	936.257142857143	1025.68571428571	828.428571428571	1289.42857142857	1314.22857142857	1262.52857142857	1231.58571428571	1374.82857142857	1412.55714285714	996.142857142857	993.342857142857	984.371428571429
AAMDC	994.066666666667	925.833333333333	2169.03333333333	1999.26666666667	1672.4	1192.56666666667	962.133333333333	993.333333333333	1259.5	961.766666666667	1155.06666666667	888.866666666667	808.166666666667	969.833333333333
AAMP	1934	3001.1	2271.9	2039	2303.2	2012.3	2048.5	2449	2340.5	2812.2	1337.1	2872.4	2659.8	1852.9
AANAT	5.2	25.5	18.8	5.9	9.2	13.2	13.6	19	20.2	178.6	55.4	16.7	36.9	5.9
AAR2	2190.3	1993.7	1728.5	1872.6	2327.4	1447.8	1684.6	1459.2	1624.5	1925.2	2143.1	1628.1	1753.5	2032.7
AARS	8623.4	11556.5	7342.1	7356.6	6118.6	9817.8	6616.6	7170	5547.4	13509.9	13349.2	6725.4	14117.6	10484.7
AARS2	578.9	358.9	462.85	426.3	471.1	450.05	394.65	301.4	306.75	646.7	643.05	412.4	484.5	307.5
AASDH	938.55	749.05	900	1158.85	638.65	1469.75	1331.45	1122.85	1070.35	816.85	751.1	803.1	1118.75	954.45
AASDHPPT	2957.9	2895.66666666667	2717.7	3272.33333333333	3306.6	2996.6	3107.36666666667	3543.6	3325.06666666667	2763.26666666667	1284.83333333333	2339.6	2309.56666666667	2156.33333333333
AASS	236.55	325.95	239.55	445.75	308.7	244.45	368.8	490.05	464.6	227.9	264.2	324.15	311.65	290.15
AATF	2304.8	2869.5	1931.3	1859.6	2422.8	1480.4	2212.7	2978.4	3158.8	2399.6	2304.4	1668.8	2242.8	2306.2
AATK	203.8	148.4	182.6	14.7	93.6	359.4	238.4	265.6	129.1	358.4	183.7	285.2	118.8	211.2
AB488780	649.4	411.3	448.2	607.3	590.2	522.1	733.5	317.8	442.5	696.5	204	219.2	674.6	567.6
ABAT	340.5	349.5	344.5	357.8	385.966666666667	236	486.6	696	379.433333333333	137.166666666667	290.166666666667	354.633333333333	268.2	242.8
ABCA1	1792.1	1327.7	1072.425	1649.65	884.475	2045.2	1119.375	747.85	568.875	1703.6	1260.675	817.925	1733.15	1068.45
ABCA11P	262.3	298.9	330.3	376.2	678.2	301.6	335.6	574.4	411.9	304.4	111.6	330.2	244.5	276
ABCA12	36.1	5.6	52.9	2.4	19.8	57.3	2.1	31.6	26.3	154.1	216.1	91.8	59.7	2.9
ABCA13	36.4333333333333	14.2666666666667	17	9.66666666666667	11.8666666666667	39.5666666666667	6.76666666666667	26.4	19.1666666666667	27.1	77.4333333333333	4.76666666666667	34.9666666666667	2.36666666666667
ABCA17P	99.1	66.9	40.4	74	59.2	178.4	109.3	131.3	154.4	227.6	428.2	128.1	198.3	91.9
ABCA2	637.933333333333	778.233333333333	305.133333333333	213.9	264.366666666667	256.366666666667	219.2	215.733333333333	227.166666666667	1303.96666666667	1013.6	884.733333333333	1032.36666666667	956.7
ABCA3	158.5	151.3	213.1	229.7	37.2	210.2	112.1	459.7	375.3	510.3	184.3	150.6	372.2	191.1
ABCA4	18.3	28.55	68.75	26.7	12.4	15.15	17.65	9	31.9	39.1	105.4	68.15	34.9	77.1
ABCA5	219.4	265.1	191	316.1	276.7	757.05	311.1	326.65	305	89.05	178.95	142.9	173.75	161.1
ABCA6	10.1	98.5	270.3	175.7	88.9	97.1	104	116.8	300.4	105.3	91.7	143.2	15	49.6
ABCA7	111.2	191.5	298	260.4	239.4	252.8	187.4	95.5	254.3	337.6	821.6	367.8	367.3	211.8
ABCA8	276.966666666667	223.866666666667	704	722.566666666667	252.133333333333	970.866666666667	826.366666666667	495.3	673	214.5	215.866666666667	545.033333333333	387.533333333333	477.833333333333
ABCA9	47.6333333333333	52.5666666666667	81.4666666666667	97.9666666666667	58.6333333333333	72.4333333333333	54.1333333333333	20.7333333333333	162.5	116.366666666667	125.266666666667	25.1333333333333	88.3333333333333	119
ABCB1	63.2	15.35	53.35	32.55	20.95	35.25	37.35	31.6	72.25	80	270.5	45.45	44.8	85.75
ABCB10	1908.3	1866.6	2022.5	1647.5	1885.2	2525.6	2211.9	2144.3	3165.9	1494.8	1151	1616.3	1476.8	1309
ABCB11	7.45	92.7	24.65	16.1	14.3	70.55	10.5	9.3	5.05	55.8	89.8	195.25	163.4	16.15
ABCB4	648.15	203	237.8	500.7	79.05	167.05	254.15	120.2	20	372.35	410.55	134.75	406.65	310.4
ABCB5	48.4	68	25.675	83.775	78.8	77.65	30.45	69.175	35.6	95.175	150.75	90.975	76.675	75.225
ABCB6	573.45	690.15	313.55	657.3	378.5	827.55	134.7	524.6	322.35	813.4	1130.85	391.15	618.85	372.45
ABCB7	1371.9	1136.3	1406.6	1496.1	1344.9	1868.5	1878.7	2021.7	1299	1415.8	1098	1039.8	1765	1356
ABCB8	139.1	536.35	169.65	189.25	156.95	107.25	144.7	161.65	207.45	272.85	187.1	348.65	308	180.4
ABCB9	159.166666666667	115.266666666667	122.933333333333	157.9	195.333333333333	196.466666666667	154.066666666667	97.8666666666667	124.5	260.766666666667	357.933333333333	93.3666666666667	211.166666666667	147.433333333333
ABCC1	3462.4	2889.45	3569.25	4623.65	2941.95	4509.7	4105.1	3369.85	2766.75	4282.35	2815.15	4758.05	4645.3	3341.95
ABCC10	934.7	1792.45	1197.35	1178.05	1738.6	830.9	1170.25	1330.45	1708.4	980.5	1177.15	948.05	704.25	975
ABCC11	62.65	126	126.05	78.4	18.9	19.25	9.6	104.8	48.55	126.95	259.95	170.4	100.2	87.6
ABCC12	50.9	24.25	7.4	35.85	63.8	23.35	26.35	28.2	7.65	5.7	101.45	38.15	13.3	28
ABCC13	40.85	42.5	43.425	37.475	50.525	66.475	81.45	68.225	55.275	68.85	303.875	91.975	71.55	33.625
ABCC2	10.9	13.1	28.5	7.3	22.6	71.5	40.6	11.4	10.5	16.5	162.2	157.8	166.1	15.2
ABCC3	843.96	541.86	373.34	874.34	563.86	750.92	636.8	1023.86	227.32	1151.78	588.94	862.4	1309.6	874.12
ABCC4	653.675	784	510.25	723.575	572.875	441.65	918.4	405.575	464.8	288.975	422.45	717.65	718.35	844.875
ABCC5	513.266666666667	630.9	493.133333333333	539.233333333333	481.733333333333	354.366666666667	436.2	484.733333333333	609.033333333333	368.4	750.433333333333	418.933333333333	472.333333333333	573.133333333333
ABCC6P1	9.8	82	56.2	63.4	21.6	103.3	109.8	23	34.9	48	126.3	188.2	57.1	15.8
ABCC8	30.45	27.9	15.15	16.7	15.55	73.45	27.7	29.7	19.3	21.35	491.15	18.85	25.5	33.9
ABCC9	32.42	70.9	39.24	85.88	77.8	45.96	71	54.4	24.3	35.36	242.76	108.84	39.86	84.78
ABCD1	826	665.9	454.8	375.9	543.3	512	398.9	434.9	500.3	1615.3	1380.3	1267.7	758.3	1306.8
ABCD2	36.5	2.8	36.1	27.5	3.2	4.5	1.7	22.9	31.8	48.5	82.9	8.5	96.8	66.1
ABCD3	4080.4	3075.05	3855.45	4120.4	3586.05	3827.05	4683.3	3980.8	4969	3360.6	2059.65	3173.9	3964.45	3780.7
ABCD4	396.15	301.6	394.9	473.2	207.85	452.6	535.3	594.75	420.85	586.35	816.35	495.85	488.25	546.9
ABCE1	3959.55	5753.65	3715.1	4076.9	5811.2	2618.9	4373.4	4743.7	5933.6	3834.1	3278.5	4206.2	5151.3	4343.3
ABCF1	4025	4237.1	2741.1	3195.4	4386.6	1894.5	2708.2	3418.7	3142.8	3983.7	3443.2	3610.9	3049.9	2932.9
ABCF2	1477.66	1588.36	1167.98	1044.8	1601.04	734.92	895.04	823.26	773	1340.02	1125.3	1462.08	1409.76	1480.26
ABCF3	909.4	940.9	1037.4	728	754.2	746.5	699.7	937.9	754.2	1357.6	1759.8	1112.8	838.4	1013.2
ABCG1	55.7	82.1	106.825	30.65	71.9	56	55.025	52.15	69.175	78.025	323.65	38.175	83.95	107.25
ABCG2	107.3	121.9	150.2	117.6	153	182.7	134.2	83.6	136.5	139.8	154	69.2	181.3	20.5
